sleepyline.cause,sleepyline
java/lang/System.currentTimeMillis()J,com/fasterxml/jackson/core/sym/CharsToNameCanonicalizer:createRoot:224
java/util/concurrent/ConcurrentMap.putIfAbsent(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,org/springframework/beans/factory/support/AbstractAutowireCapableBeanFactory:filterPropertyDescriptorsForDependencyCheck:1341
java/lang/Thread.getContextClassLoader()Ljava/lang/ClassLoader;,org/apache/xerces/parsers/SecuritySupport$1:run:0
java/lang/Thread.currentThread()Ljava/lang/Thread;,org/apache/xerces/parsers/SecuritySupport$1:run:0
java/util/concurrent/locks/Lock.unlock()V,org/apache/catalina/core/ContainerBase:getRealmInternal:753
java/lang/Thread.setContextClassLoader(Ljava/lang/ClassLoader;)V,org/apache/catalina/core/StandardContext:unbindThread:6018
java/lang/Thread.currentThread()Ljava/lang/Thread;,org/apache/catalina/core/StandardContext:unbindThread:6018
java/util/concurrent/locks/Lock.unlock()V,org/apache/catalina/core/ContainerBase:getRealmInternal:752
java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.lock()V,org/apache/catalina/core/StandardWrapper:addMapping:799
java/lang/Thread.currentThread()Ljava/lang/Thread;,ch/qos/logback/classic/spi/LoggingEvent:getThreadName:164
java/lang/Thread.getName()Ljava/lang/String;,ch/qos/logback/classic/spi/LoggingEvent:getThreadName:164
java/util/concurrent/ConcurrentMap.putIfAbsent(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,org/springframework/beans/CachedIntrospectionResults:forClass:204
java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.lock()V,org/apache/catalina/core/StandardWrapper:removeMapping:1355
java/util/concurrent/locks/Lock.lock()V,org/apache/catalina/core/ContainerBase:getRealmInternal:750
java/util/concurrent/atomic/AtomicLong.getAndIncrement()J,org/apache/catalina/core/StandardContext:stopInternal:5654
java/lang/System.currentTimeMillis()J,org/apache/tomcat/util/modeler/Registry:getMBeanServer:541
java/util/concurrent/locks/ReentrantLock.lock()V,ch/qos/logback/core/OutputStreamAppender:subAppend:217
java/util/concurrent/ConcurrentMap.putIfAbsent(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,org/apache/commons/logging/impl/SLF4JLogFactory:getInstance:163
java/io/OutputStream.flush()V,ch/qos/logback/core/encoder/LayoutWrappingEncoder:doEncode:138
