method,totalConfigs,sleepyline.cause,config.Count,proportion
BIS,14666,MONITORENTER,2648,0.18055366153006955
BIS,14666,MONITOREXIT,2706,0.18450838674485204
BIS,14666,RUNNABLE_CALLABLE_START,1294,0.08823128324014728
BIS,14666,SYNCHRONIZED_METHOD_ENTER,2276,0.1551888722214646
BIS,14666,SYNCHRONIZED_METHOD_EXIT,2368,0.1614618846311196
BIS,14666,java/io/OutputStream.close()V,58,0.0039547252147824905
BIS,14666,java/io/OutputStream.flush()V,321,0.021887358516296196
BIS,14666,java/lang/Object.notify()V,186,0.012682394654302468
BIS,14666,java/lang/Object.notifyAll()V,235,0.01602345561161871
BIS,14666,java/lang/Object.wait()V,75,0.005113868812218737
BIS,14666,java/lang/Object.wait(J)V,53,0.003613800627301241
BIS,14666,java/lang/Object.wait(JI)V,1,6.818491749624983e-05
BIS,14666,java/lang/Runnable.run()V,339,0.02311468703122869
BIS,14666,java/lang/System.currentTimeMillis()J,2190,0.14932496931678713
BIS,14666,java/lang/Thread.currentThread()Ljava/lang/Thread;,1501,0.10234556116187099
BIS,14666,java/lang/Thread.getContextClassLoader()Ljava/lang/ClassLoader;,103,0.007023046502113732
BIS,14666,java/lang/Thread.getId()J,5,0.00034092458748124913
BIS,14666,java/lang/Thread.getName()Ljava/lang/String;,184,0.012546024819309968
BIS,14666,java/lang/Thread.getPriority()I,22,0.0015000681849174963
BIS,14666,java/lang/Thread.getState()Ljava/lang/Thread$State;,2,0.00013636983499249966
BIS,14666,java/lang/Thread.getThreadGroup()Ljava/lang/ThreadGroup;,23,0.001568253102413746
BIS,14666,java/lang/Thread.interrupt()V,65,0.004432019637256239
BIS,14666,java/lang/Thread.interrupted()Z,62,0.0042274648847674895
BIS,14666,java/lang/Thread.isAlive()Z,25,0.0017046229374062458
BIS,14666,java/lang/Thread.isDaemon()Z,22,0.0015000681849174963
BIS,14666,java/lang/Thread.isInterrupted()Z,3,0.0002045547524887495
BIS,14666,java/lang/Thread.join()V,3,0.0002045547524887495
BIS,14666,java/lang/Thread.setContextClassLoader(Ljava/lang/ClassLoader;)V,19,0.0012955134324287468
BIS,14666,java/lang/Thread.setDaemon(Z)V,87,0.005932087822173735
BIS,14666,java/lang/Thread.setDefaultUncaughtExceptionHandler(Ljava/lang/Thread$UncaughtExceptionHandler;)V,2,0.00013636983499249966
BIS,14666,java/lang/Thread.setName(Ljava/lang/String;)V,140,0.009545888449474977
