sleepyline.cause,method,failureID.Uniq.Count,test
MONITORENTER,BIS,478,478
MONITORENTER,OBO,392,392
MONITOREXIT,BIS,492,492
MONITOREXIT,OBO,397,397
RUNNABLE_CALLABLE_START,BIS,293,293
RUNNABLE_CALLABLE_START,OBO,338,338
SYNCHRONIZED_METHOD_ENTER,BIS,426,426
SYNCHRONIZED_METHOD_ENTER,OBO,336,336
SYNCHRONIZED_METHOD_EXIT,BIS,436,436
SYNCHRONIZED_METHOD_EXIT,OBO,329,329
java/io/OutputStream.close()V,BIS,24,24
java/io/OutputStream.close()V,OBO,31,31
java/io/OutputStream.flush()V,BIS,190,190
java/io/OutputStream.flush()V,OBO,173,173
java/lang/Object.notify()V,BIS,57,57
java/lang/Object.notify()V,OBO,49,49
java/lang/Object.notifyAll()V,BIS,116,116
java/lang/Object.notifyAll()V,OBO,106,106
java/lang/Object.wait()V,BIS,36,36
java/lang/Object.wait()V,OBO,47,47
java/lang/Object.wait(J)V,BIS,29,29
java/lang/Object.wait(J)V,OBO,56,56
java/lang/Object.wait(JI)V,BIS,1,1
java/lang/Object.wait(JI)V,OBO,3,3
java/lang/Runnable.run()V,BIS,69,69
java/lang/Runnable.run()V,OBO,77,77
java/lang/System.currentTimeMillis()J,BIS,369,369
java/lang/System.currentTimeMillis()J,OBO,330,330
java/lang/Thread.currentThread()Ljava/lang/Thread;,BIS,286,286
java/lang/Thread.currentThread()Ljava/lang/Thread;,OBO,272,272
java/lang/Thread.getContextClassLoader()Ljava/lang/ClassLoader;,BIS,23,23
java/lang/Thread.getContextClassLoader()Ljava/lang/ClassLoader;,OBO,45,45
java/lang/Thread.getId()J,BIS,5,5
java/lang/Thread.getId()J,OBO,4,4
java/lang/Thread.getName()Ljava/lang/String;,BIS,66,66
java/lang/Thread.getName()Ljava/lang/String;,OBO,85,85
java/lang/Thread.getPriority()I,BIS,2,2
java/lang/Thread.getPriority()I,OBO,2,2
java/lang/Thread.getState()Ljava/lang/Thread$State;,BIS,2,2
java/lang/Thread.getState()Ljava/lang/Thread$State;,OBO,2,2
java/lang/Thread.getThreadGroup()Ljava/lang/ThreadGroup;,BIS,11,11
java/lang/Thread.getThreadGroup()Ljava/lang/ThreadGroup;,OBO,16,16
java/lang/Thread.interrupt()V,BIS,24,24
java/lang/Thread.interrupt()V,OBO,27,27
java/lang/Thread.interrupted()Z,BIS,22,22
java/lang/Thread.interrupted()Z,OBO,25,25
java/lang/Thread.isAlive()Z,BIS,14,14
java/lang/Thread.isAlive()Z,OBO,9,9
java/lang/Thread.isDaemon()Z,BIS,2,2
java/lang/Thread.isDaemon()Z,OBO,2,2
java/lang/Thread.isInterrupted()Z,BIS,3,3
java/lang/Thread.isInterrupted()Z,OBO,1,1
java/lang/Thread.join()V,BIS,2,2
java/lang/Thread.join()V,OBO,13,13
java/lang/Thread.join(J)V,OBO,16,16
java/lang/Thread.setContextClassLoader(Ljava/lang/ClassLoader;)V,BIS,6,6
java/lang/Thread.setContextClassLoader(Ljava/lang/ClassLoader;)V,OBO,12,12
java/lang/Thread.setDaemon(Z)V,BIS,28,28
java/lang/Thread.setDaemon(Z)V,OBO,46,46
java/lang/Thread.setDefaultUncaughtExceptionHandler(Ljava/lang/Thread$UncaughtExceptionHandler;)V,BIS,2,2
java/lang/Thread.setDefaultUncaughtExceptionHandler(Ljava/lang/Thread$UncaughtExceptionHandler;)V,OBO,2,2
java/lang/Thread.setName(Ljava/lang/String;)V,BIS,57,57
java/lang/Thread.setName(Ljava/lang/String;)V,OBO,86,86
java/lang/Thread.setPriority(I)V,BIS,10,10
java/lang/Thread.setPriority(I)V,OBO,16,16
java/lang/Thread.sleep(J)V,BIS,23,23
java/lang/Thread.sleep(J)V,OBO,42,42
java/lang/Thread.start()V,BIS,18,18
java/lang/Thread.start()V,OBO,73,73
java/lang/Thread.stop()V,OBO,5,5
java/lang/Thread.yield()V,BIS,36,36
java/lang/Thread.yield()V,OBO,11,11
java/net/ServerSocket.accept()Ljava/net/Socket;,BIS,10,10
java/net/ServerSocket.accept()Ljava/net/Socket;,OBO,18,18
java/net/ServerSocket.bind(Ljava/net/SocketAddress;)V,BIS,6,6
java/net/ServerSocket.bind(Ljava/net/SocketAddress;)V,OBO,23,23
java/net/ServerSocket.close()V,BIS,34,34
java/net/ServerSocket.close()V,OBO,7,7
java/net/ServerSocket.isBound()Z,BIS,2,2
java/net/ServerSocket.isBound()Z,OBO,2,2
java/net/ServerSocket.isClosed()Z,BIS,5,5
java/net/ServerSocket.isClosed()Z,OBO,10,10
java/net/Socket.connect(Ljava/net/SocketAddress;I)V,BIS,4,4
java/net/Socket.connect(Ljava/net/SocketAddress;I)V,OBO,32,32
java/nio/Buffer.limit(I)Ljava/nio/Buffer;,BIS,6,6
java/nio/Buffer.limit(I)Ljava/nio/Buffer;,OBO,13,13
java/nio/Buffer.position(I)Ljava/nio/Buffer;,BIS,3,3
java/nio/Buffer.position(I)Ljava/nio/Buffer;,OBO,3,3
java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,BIS,192,192
java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,OBO,182,182
java/nio/ByteBuffer.allocateDirect(I)Ljava/nio/ByteBuffer;,BIS,10,10
java/nio/ByteBuffer.allocateDirect(I)Ljava/nio/ByteBuffer;,OBO,28,28
java/nio/ByteBuffer.array()[B,BIS,205,205
java/nio/ByteBuffer.array()[B,OBO,193,193
java/nio/ByteBuffer.arrayOffset()I,BIS,5,5
java/nio/ByteBuffer.arrayOffset()I,OBO,10,10
java/nio/ByteBuffer.asReadOnlyBuffer()Ljava/nio/ByteBuffer;,BIS,2,2
java/nio/ByteBuffer.asReadOnlyBuffer()Ljava/nio/ByteBuffer;,OBO,1,1
