API,API,Correlation
java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,java/nio/ByteBuffer.array()[B,0.9999999999999998
MONITORENTER,MONITOREXIT,0.9932504629028248
SYNCHRONIZED_METHOD_EXIT,SYNCHRONIZED_METHOD_ENTER,0.992179811829664
java/lang/Thread.currentThread()Ljava/lang/Thread;,java/nio/channels/Selector.wakeup()Ljava/nio/channels/Selector;,0.9619929244063126
RUNNABLE_CALLABLE_START,java/nio/channels/Selector.wakeup()Ljava/nio/channels/Selector;,0.9412727526918758
java/lang/Thread.currentThread()Ljava/lang/Thread;,java/lang/System.currentTimeMillis()J,0.9323154468042348
RUNNABLE_CALLABLE_START,java/lang/Thread.currentThread()Ljava/lang/Thread;,0.9256059496838271
SYNCHRONIZED_METHOD_ENTER,MONITORENTER,0.9152306562206336
MONITORENTER,SYNCHRONIZED_METHOD_EXIT,0.9088416253258338
RUNNABLE_CALLABLE_START,java/lang/System.currentTimeMillis()J,0.8767718039871963
SYNCHRONIZED_METHOD_ENTER,MONITOREXIT,0.8750217026832592
java/lang/System.currentTimeMillis()J,java/nio/channels/Selector.wakeup()Ljava/nio/channels/Selector;,0.8749733421688729
MONITOREXIT,SYNCHRONIZED_METHOD_EXIT,0.8655860998101426
MONITOREXIT,java/lang/System.currentTimeMillis()J,0.7256848720695107
MONITORENTER,java/lang/System.currentTimeMillis()J,0.6643986399622819
MONITOREXIT,RUNNABLE_CALLABLE_START,0.6145176914022028
RUNNABLE_CALLABLE_START,MONITORENTER,0.5431426868996705
MONITOREXIT,java/lang/Thread.currentThread()Ljava/lang/Thread;,0.5426920822286134
MONITOREXIT,java/nio/channels/Selector.wakeup()Ljava/nio/channels/Selector;,0.4799275966332644
java/lang/Thread.currentThread()Ljava/lang/Thread;,MONITORENTER,0.4617995910311037
SYNCHRONIZED_METHOD_ENTER,java/lang/System.currentTimeMillis()J,0.3980349147836051
java/nio/channels/Selector.wakeup()Ljava/nio/channels/Selector;,MONITORENTER,0.3958720848467293
java/lang/System.currentTimeMillis()J,SYNCHRONIZED_METHOD_EXIT,0.3738214339428914
SYNCHRONIZED_METHOD_ENTER,RUNNABLE_CALLABLE_START,0.2233753940724465
RUNNABLE_CALLABLE_START,SYNCHRONIZED_METHOD_EXIT,0.2068734181263023
SYNCHRONIZED_METHOD_ENTER,java/lang/Thread.currentThread()Ljava/lang/Thread;,0.1368646512897283
SYNCHRONIZED_METHOD_EXIT,java/lang/Thread.currentThread()Ljava/lang/Thread;,0.128685685375871
java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,RUNNABLE_CALLABLE_START,0.1195703188908121
RUNNABLE_CALLABLE_START,java/nio/ByteBuffer.array()[B,0.1195703188908121
java/nio/ByteBuffer.array()[B,java/lang/Thread.currentThread()Ljava/lang/Thread;,0.0528464166383313
java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,java/lang/Thread.currentThread()Ljava/lang/Thread;,0.0528464166383313
SYNCHRONIZED_METHOD_ENTER,java/nio/channels/Selector.wakeup()Ljava/nio/channels/Selector;,0.026144509638338
java/nio/channels/Selector.wakeup()Ljava/nio/channels/Selector;,SYNCHRONIZED_METHOD_EXIT,0.0096273173555404
java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,SYNCHRONIZED_METHOD_EXIT,0.0094302701079279
java/nio/ByteBuffer.array()[B,SYNCHRONIZED_METHOD_EXIT,0.0094302701079279
java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,SYNCHRONIZED_METHOD_ENTER,-0.0416547151227594
java/nio/ByteBuffer.array()[B,SYNCHRONIZED_METHOD_ENTER,-0.0416547151227594
java/nio/channels/Selector.wakeup()Ljava/nio/channels/Selector;,java/nio/ByteBuffer.array()[B,-0.0777123739316879
java/nio/channels/Selector.wakeup()Ljava/nio/channels/Selector;,java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,-0.077712373931688
java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,java/lang/System.currentTimeMillis()J,-0.1028968094563991
java/lang/System.currentTimeMillis()J,java/nio/ByteBuffer.array()[B,-0.1028968094563991
java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,MONITOREXIT,-0.1251473188490042
java/nio/ByteBuffer.array()[B,MONITOREXIT,-0.1251473188490042
java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,MONITORENTER,-0.1259647815158286
java/nio/ByteBuffer.array()[B,MONITORENTER,-0.1259647815158286
